ID,True_Segment,Predicted_Segment,Correct,Max_Posterior,Confidence_Level
6862,A,A,True,0.5904882142137376,Moderate_Review
3396,D,D,True,0.9941594614400125,High_Confidence
6302,B,A,False,0.5844377413569519,Moderate_Review
3329,D,D,True,0.8349971085255687,High_Confidence
7901,D,D,True,0.9996701614707278,High_Confidence
1045,A,A,True,0.5829943967195108,Moderate_Review
4687,D,D,True,0.5196634256682439,Moderate_Review
6878,C,C,True,0.5820479408499194,Moderate_Review
5205,C,C,True,0.7476358125472772,Moderate_Review
2030,B,B,True,0.4243854600177505,Low_Review
6377,C,C,True,0.780978441970604,High_Confidence
4585,C,B,False,0.4059190231933292,Low_Review
2704,C,C,True,0.7420164615401531,Moderate_Review
5956,B,C,False,0.6563513696220106,Moderate_Review
6557,D,A,False,0.47911276658011426,Low_Review
3975,D,A,False,0.3674576333618129,Low_Review
5375,C,C,True,0.5926743204676179,Moderate_Review
4357,C,A,False,0.493871152281639,Low_Review
2187,D,D,True,0.9941594614400125,High_Confidence
2521,A,D,False,0.8837628078314831,High_Confidence
6282,C,C,True,0.44684516491091175,Low_Review
2468,A,A,True,0.6341154866169418,Moderate_Review
5435,B,B,True,0.4654742118146356,Low_Review
3557,B,B,True,0.4412631290656054,Low_Review
1048,B,D,False,0.4457986156975255,Low_Review
5982,B,C,False,0.5598540155158775,Moderate_Review
7162,A,B,False,0.40428850894601204,Low_Review
6641,A,B,False,0.39523381043834316,Low_Review
7959,B,B,True,0.42182249629166296,Low_Review
2280,A,C,False,0.3478774085385351,Low_Review
5901,B,C,False,0.6194664945941721,Moderate_Review
5983,A,A,True,0.5241242580302534,Moderate_Review
52,A,A,True,0.5244501297927496,Moderate_Review
1966,C,D,False,0.7301070761268186,Moderate_Review
7308,A,B,False,0.44274013469912327,Low_Review
1279,C,D,False,0.9179882830172882,High_Confidence
4847,C,B,False,0.4746046197474969,Low_Review
3192,B,C,False,0.7852556742357426,High_Confidence
5633,D,D,True,0.9328377846209148,High_Confidence
7440,D,D,True,0.5466040658669634,Moderate_Review
6686,A,B,False,0.3878204168662614,Low_Review
911,D,D,True,0.7450928596940865,Moderate_Review
6037,D,D,True,0.9958517433317012,High_Confidence
