user_id,item_id,score,rank
1021,24852,1.0,1
1021,13176,1.0,2
1021,21137,1.0,3
1021,21903,1.0,4
1021,47209,1.0,5
1021,47766,1.0,6
1021,16797,1.0,7
1021,26209,1.0,8
1021,27966,1.0,9
1021,27845,1.0,10
1021,24964,1.0,11
1021,49683,1.0,12
1021,22935,1.0,13
1021,45007,1.0,14
1021,30391,1.0,15
1021,5876,1.0,16
1021,21616,1.0,17
1021,17794,1.0,18
1021,42265,1.0,19
1021,22035,1.0,20
1022,13176,1.0,1
1022,21903,1.0,2
1022,24964,1.0,3
1022,22935,1.0,4
1022,4605,1.0,5
1022,42265,1.0,6
1022,22035,1.0,7
1022,5077,1.0,8
1022,34126,1.0,9
1022,24184,1.0,10
1022,21938,1.0,11
1022,27344,1.0,12
1022,2295,1.0,13
1022,41220,1.0,14
1022,34358,1.0,15
1022,20995,1.0,16
1022,8021,1.0,17
1022,25146,1.0,18
1022,41844,1.0,19
1022,42342,1.0,20
1024,12341,1.0,1
1024,33120,1.0,2
1024,5769,1.0,3
1024,17902,1.0,4
1024,33249,1.0,5
1024,24852,0.0,6
1024,13176,0.0,7
1024,21137,0.0,8
1024,21903,0.0,9
1024,47209,0.0,10
1024,47766,0.0,11
1024,16797,0.0,12
1024,26209,0.0,13
1024,47626,0.0,14
1024,27966,0.0,15
1024,27845,0.0,16
1024,24964,0.0,17
1024,49683,0.0,18
1024,22935,0.0,19
1024,39275,0.0,20
1027,13176,1.0,1
1027,21137,1.0,2
1027,47209,1.0,3
1027,47766,1.0,4
1027,26209,1.0,5
1027,47626,1.0,6
1027,24964,1.0,7
1027,22935,1.0,8
1027,5876,1.0,9
1027,4605,1.0,10
1027,44632,1.0,11
1027,37646,1.0,12
1027,46667,1.0,13
1027,34969,1.0,14
1027,25890,1.0,15
1027,10749,1.0,16
1027,28842,1.0,17
1027,44142,1.0,18
1027,27156,1.0,19
1027,11520,1.0,20
1058,13176,1.0,1
1058,21903,1.0,2
1058,12341,1.0,3
1058,42265,1.0,4
1058,31506,1.0,5
1058,890,1.0,6
1058,32689,1.0,7
1058,42768,1.0,8
1058,33768,1.0,9
1058,16953,1.0,10
1058,38928,1.0,11
1058,7021,1.0,12
1058,32478,1.0,13
1058,651,1.0,14
1058,48205,1.0,15
1058,9020,1.0,16
1058,48697,1.0,17
1058,2855,1.0,18
1058,4724,1.0,19
1058,22046,1.0,20
1059,24852,1.0,1
1059,13176,1.0,2
1059,21137,1.0,3
1059,21903,1.0,4
1059,47766,1.0,5
1059,26209,1.0,6
1059,27966,1.0,7
1059,24964,1.0,8
1059,22935,1.0,9
1059,45007,1.0,10
1059,30391,1.0,11
1059,5876,1.0,12
1059,4605,1.0,13
1059,8518,1.0,14
1059,4920,1.0,15
1059,37646,1.0,16
1059,22035,1.0,17
1059,44359,1.0,18
1059,31717,1.0,19
1059,19057,1.0,20
1066,24852,1.0,1
1066,13176,1.0,2
1066,16797,1.0,3
1066,27966,1.0,4
1066,9076,1.0,5
1066,5077,1.0,6
1066,26604,1.0,7
1066,432,1.0,8
1066,28199,1.0,9
1066,21288,1.0,10
1066,23909,1.0,11
1066,32689,1.0,12
1066,28465,1.0,13
1066,13870,1.0,14
1066,37158,1.0,15
1066,36865,1.0,16
1066,7644,1.0,17
1066,10957,1.0,18
1066,17949,1.0,19
1066,48205,1.0,20
1084,13176,1.0,1
1084,21137,1.0,2
1084,47209,1.0,3
1084,16797,1.0,4
1084,22935,1.0,5
1084,45007,1.0,6
1084,12341,1.0,7
1084,40706,1.0,8
1084,5876,1.0,9
1084,17794,1.0,10
1084,4605,1.0,11
1084,8277,1.0,12
1084,4920,1.0,13
1084,45066,1.0,14
1084,44359,1.0,15
1084,27086,1.0,16
1084,28985,1.0,17
1084,30489,1.0,18
1084,24184,1.0,19
1084,41950,1.0,20
1107,26209,1.0,1
1107,47626,1.0,2
1107,45007,1.0,3
1107,30391,1.0,4
1107,4605,1.0,5
1107,8518,1.0,6
1107,37646,1.0,7
1107,31717,1.0,8
1107,27086,1.0,9
1107,5077,1.0,10
1107,31506,1.0,11
1107,10749,1.0,12
1107,15290,1.0,13
1107,16759,1.0,14
1107,5785,1.0,15
1107,47734,1.0,16
1107,42701,1.0,17
1107,21405,1.0,18
1107,41844,1.0,19
1107,39812,1.0,20
1120,13176,1.0,1
1120,39275,1.0,2
1120,30391,1.0,3
1120,5876,1.0,4
1120,44359,1.0,5
1120,28985,1.0,6
1120,46667,1.0,7
1120,34126,1.0,8
1120,41950,1.0,9
1120,9839,1.0,10
1120,46676,1.0,11
1120,8021,1.0,12
1120,26940,1.0,13
1120,18288,1.0,14
1120,15902,1.0,15
1120,18234,1.0,16
1120,36389,1.0,17
1120,27548,1.0,18
1120,17461,1.0,19
1120,49416,1.0,20
1130,24852,1.0,1
1130,26209,1.0,2
1130,28204,1.0,3
1130,28199,1.0,4
1130,20114,1.0,5
1130,43772,1.0,6
1130,1940,1.0,7
1130,10673,1.0,8
1130,22959,1.0,9
1130,10473,1.0,10
1130,46842,1.0,11
1130,16965,1.0,12
1130,27548,1.0,13
1130,7131,1.0,14
1130,42633,1.0,15
1130,48335,1.0,16
1130,31557,1.0,17
1130,13176,0.0,18
1130,21137,0.0,19
1130,21903,0.0,20
1142,13176,1.0,1
1142,21903,1.0,2
1142,16797,1.0,3
1142,12341,1.0,4
1142,43352,1.0,5
1142,39408,1.0,6
1142,42768,1.0,7
1142,44683,1.0,8
1142,21195,1.0,9
1142,37710,1.0,10
1142,651,1.0,11
1142,44987,1.0,12
1142,5769,1.0,13
1142,7131,1.0,14
1142,4724,1.0,15
1142,33043,1.0,16
1142,25133,1.0,17
1142,17122,1.0,18
1142,17313,1.0,19
1142,24852,0.0,20
1150,24852,1.0,1
1150,21137,1.0,2
1150,47766,1.0,3
1150,27845,1.0,4
1150,24964,1.0,5
1150,30391,1.0,6
1150,28985,1.0,7
1150,46979,1.0,8
1150,9076,1.0,9
1150,5077,1.0,10
1150,26604,1.0,11
1150,10749,1.0,12
1150,5450,1.0,13
1150,27521,1.0,14
1150,19660,1.0,15
1150,16759,1.0,16
1150,25659,1.0,17
1150,33198,1.0,18
1150,37687,1.0,19
1150,40604,1.0,20
1164,24852,1.0,1
1164,21137,1.0,2
1164,21903,1.0,3
1164,47209,1.0,4
1164,47766,1.0,5
1164,26209,1.0,6
1164,47626,1.0,7
1164,27966,1.0,8
1164,27845,1.0,9
1164,22935,1.0,10
1164,45007,1.0,11
1164,28204,1.0,12
1164,21616,1.0,13
1164,17794,1.0,14
1164,45066,1.0,15
1164,31717,1.0,16
1164,5077,1.0,17
1164,34969,1.0,18
1164,26604,1.0,19
1164,31506,1.0,20
1173,24852,1.0,1
1173,21137,1.0,2
1173,47209,1.0,3
1173,47766,1.0,4
1173,27845,1.0,5
1173,22935,1.0,6
1173,28204,1.0,7
1173,40706,1.0,8
1173,21616,1.0,9
1173,4920,1.0,10
1173,31717,1.0,11
1173,27086,1.0,12
1173,35951,1.0,13
1173,31506,1.0,14
1173,25890,1.0,15
1173,5450,1.0,16
1173,30233,1.0,17
1173,35221,1.0,18
1173,5785,1.0,19
1173,25659,1.0,20
1197,13176,1.0,1
1197,21137,1.0,2
1197,21903,1.0,3
1197,47209,1.0,4
1197,47766,1.0,5
1197,26209,1.0,6
1197,27966,1.0,7
1197,27845,1.0,8
1197,24964,1.0,9
1197,45007,1.0,10
1197,12341,1.0,11
1197,40706,1.0,12
1197,5876,1.0,13
1197,21616,1.0,14
1197,17794,1.0,15
1197,8518,1.0,16
1197,42265,1.0,17
1197,22035,1.0,18
1197,45066,1.0,19
1197,28985,1.0,20
1199,24852,1.0,1
1199,21137,1.0,2
1199,21903,1.0,3
1199,47209,1.0,4
1199,26209,1.0,5
1199,47626,1.0,6
1199,27966,1.0,7
1199,49683,1.0,8
1199,39275,1.0,9
1199,30391,1.0,10
1199,8277,1.0,11
1199,45066,1.0,12
1199,44359,1.0,13
1199,31717,1.0,14
1199,46667,1.0,15
1199,26604,1.0,16
1199,43961,1.0,17
1199,5450,1.0,18
1199,8424,1.0,19
1199,46802,1.0,20
1202,24852,1.0,1
1202,39275,1.0,2
1202,41787,1.0,3
1202,9387,1.0,4
1202,13829,1.0,5
1202,21333,1.0,6
1202,7644,1.0,7
1202,10957,1.0,8
1202,45104,1.0,9
1202,39190,1.0,10
1202,31981,1.0,11
1202,10473,1.0,12
1202,17341,1.0,13
1202,46842,1.0,14
1202,47526,1.0,15
1202,43263,1.0,16
1202,4006,1.0,17
1202,26172,1.0,18
1202,13176,0.0,19
1202,21137,0.0,20
1213,19660,1.0,1
1213,8859,1.0,2
1213,22963,1.0,3
1213,8021,1.0,4
1213,12409,1.0,5
1213,13838,1.0,6
1213,20600,1.0,7
1213,7503,1.0,8
1213,44643,1.0,9
1213,23405,1.0,10
1213,24852,0.0,11
1213,13176,0.0,12
1213,21137,0.0,13
1213,21903,0.0,14
1213,47209,0.0,15
1213,47766,0.0,16
1213,16797,0.0,17
1213,26209,0.0,18
1213,47626,0.0,19
1213,27966,0.0,20
1242,24852,1.0,1
1242,21137,1.0,2
1242,47209,1.0,3
1242,16797,1.0,4
1242,47626,1.0,5
1242,27966,1.0,6
1242,27845,1.0,7
1242,49683,1.0,8
1242,45007,1.0,9
1242,5876,1.0,10
1242,17794,1.0,11
1242,4605,1.0,12
1242,49235,1.0,13
1242,8277,1.0,14
1242,27104,1.0,15
1242,34126,1.0,16
1242,30489,1.0,17
1242,24184,1.0,18
1242,31506,1.0,19
1242,28199,1.0,20
1246,24852,1.0,1
1246,47209,1.0,2
1246,16797,1.0,3
1246,27966,1.0,4
1246,27845,1.0,5
1246,39275,1.0,6
1246,17794,1.0,7
1246,42265,1.0,8
1246,4920,1.0,9
1246,46667,1.0,10
1246,43352,1.0,11
1246,21938,1.0,12
1246,5450,1.0,13
1246,39928,1.0,14
1246,46906,1.0,15
1246,31683,1.0,16
1246,47734,1.0,17
1246,31553,1.0,18
1246,46969,1.0,19
1246,44683,1.0,20
1250,24852,1.0,1
1250,21137,1.0,2
1250,21903,1.0,3
1250,47209,1.0,4
1250,26209,1.0,5
1250,22935,1.0,6
1250,45007,1.0,7
1250,17794,1.0,8
1250,4605,1.0,9
1250,8277,1.0,10
1250,8518,1.0,11
1250,42265,1.0,12
1250,4920,1.0,13
1250,45066,1.0,14
1250,31717,1.0,15
1250,27104,1.0,16
1250,35951,1.0,17
1250,34126,1.0,18
1250,34969,1.0,19
1250,26604,1.0,20
1271,24852,1.0,1
1271,13176,1.0,2
1271,21903,1.0,3
1271,47209,1.0,4
1271,26209,1.0,5
1271,47626,1.0,6
1271,24964,1.0,7
1271,22935,1.0,8
1271,39275,1.0,9
1271,45007,1.0,10
1271,30391,1.0,11
1271,21616,1.0,12
1271,17794,1.0,13
1271,8518,1.0,14
1271,37646,1.0,15
1271,44359,1.0,16
1271,31717,1.0,17
1271,46667,1.0,18
1271,35951,1.0,19
1271,34126,1.0,20
1368,46979,1.0,1
1368,8193,1.0,2
1368,10673,1.0,3
1368,47141,1.0,4
1368,33129,1.0,5
1368,11182,1.0,6
1368,47792,1.0,7
1368,44234,1.0,8
1368,46941,1.0,9
1368,24382,1.0,10
1368,5794,1.0,11
1368,10255,1.0,12
1368,34217,1.0,13
1368,29553,1.0,14
1368,26172,1.0,15
1368,24852,0.0,16
1368,13176,0.0,17
1368,21137,0.0,18
1368,21903,0.0,19
1368,47209,0.0,20
1378,24852,1.0,1
1378,13176,1.0,2
1378,21137,1.0,3
1378,47209,1.0,4
1378,47766,1.0,5
1378,27845,1.0,6
1378,24964,1.0,7
1378,22935,1.0,8
1378,39275,1.0,9
1378,30391,1.0,10
1378,40706,1.0,11
